_id,법원소재지,사건번호,소재지 및 내역
658cfcadc837ad5e9701f27e,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울중앙지방법원\n2017타경4776,"서울특별시 중구 청계천로 318, 1층11호\n[집합건물 철근콘크리트조 19.83㎡ 2분의 1 한인성 지분 전부]"
658cfcadc837ad5e9701f27f,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울중앙지방법원\n2021타경610,서울특별시 종로구 홍지동 129-14\n[토지 대 231㎡]\n서울특별시 종로구 자하문로41길 32\n[건물 블럭조 기와지붕 단층주택 33.80㎡ 블럭조 기와지붕 단층주택 6.96㎡ 블럭조 기와지붕 단층주택 1.56㎡]
658cfcadc837ad5e9701f280,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울중앙지방법원\n2021타경1699,"서울특별시 관악구 난곡로26길 115, 2층203호 (신림동, 대림아트빌)\n[집합건물 철근콘크리트구조 37.77㎡]"
658cfcadc837ad5e9701f281,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울중앙지방법원\n2021타경1712,"서울특별시 관악구 난곡로26길 115, 4층401호 (신림동,대림아트빌)\n[집합건물 철근콘크리트구조 28.92㎡]"
658cfcadc837ad5e9701f282,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울중앙지방법원\n2021타경2708\n2022타경109279\n(중복),서울특별시 중구 저동1가 103-7\n[토지 대 38.3㎡]\n서울특별시 중구 저동1가 103-8\n[토지 대 23.8㎡]\n서울특별시 중구 명동길 81\n[건물 목조와즙 2층영업소 1층 23.14㎡ 2층 23.14㎡ 지하실 23.14㎡]
658cfcadc837ad5e9701f283,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울중앙지방법원\n2021타경2807\n2021타경107832\n(중복),서울특별시 종로구 구기동 76-2\n[토지 전 5416㎡]
658cfcadc837ad5e9701f284,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울중앙지방법원\n2021타경3411,"서울특별시 중구 을지로45길 72, 3층85호 (신당동,디자이너크럽)\n[집합건물 철근콘크리트조 4.94㎡]"
658cfcadc837ad5e9701f285,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울중앙지방법원\n2021타경3718,"서울특별시 관악구 난곡로26마길 28, 1층204호 (신림동,라임카운티)\n[집합건물 철근콘크리트구조 29.16㎡]"
658cfcadc837ad5e9701f286,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울중앙지방법원\n2021타경105713,"서울특별시 동작구 상도로62가길 11, 4층403호 (상도동,보성팰리스17차)\n[집합건물 철근콘크리트구조 29.62㎡]"
658cfcadc837ad5e9701f287,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울중앙지방법원\n2021타경107535,"서울특별시 종로구 지봉로12가길 4, 5층501호 (숭인동,숭인빌라)\n[집합건물 철근콘크리트구조 29.72㎡]"
658cfcadc837ad5e9701f288,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울중앙지방법원\n2021타경109005,"서울특별시 서초구 사임당로 175, 1층103호 (서초동,갤럭시타워)\n[집합건물 철근콘크리트구조 48.66㎡]"
658cfcadc837ad5e9701f289,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울중앙지방법원\n2021타경109005,"서울특별시 서초구 사임당로 175, 1층105호 (서초동,갤럭시타워)\n[집합건물 철근콘크리트구조 47.95㎡]\n서울특별시 서초구 사임당로 175, 1층106호 (서초동,갤럭시타워)\n[집합건물 철근콘크리트구조 34.49㎡]"
658cfcadc837ad5e9701f28a,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울중앙지방법원\n2021타경109159,서울특별시 동작구 사당동 419-152 씨에스하우스 5층503호\n[집합건물 철근콘크리트구조 29.21㎡]
658cfcadc837ad5e9701f28b,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울중앙지방법원\n2021타경109319,"서울특별시 동작구 성대로10길 62, 1층101호 (상도동,상도로지빌)\n[집합건물 철근콘크리트구조 29.25㎡]"
658cfcadc837ad5e9701f28c,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울중앙지방법원\n2021타경110579,"서울특별시 관악구 쑥고개로2길 14, 2층201호 (신림동,리더스힐)\n[집합건물 철근콘크리트구조 29.99㎡]"
658cfcadc837ad5e9701f28d,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울중앙지방법원\n2021타경110579,"서울특별시 관악구 쑥고개로2길 14, 4층401호 (신림동,리더스힐)\n[집합건물 철근콘크리트구조 29.99㎡]"
658cfcb1c837ad5e9701f28e,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2021타경1593,"서울특별시 광진구 광나루로56길 85, 4층시009호 (구의동,테크노-마트21)\n[집합건물 철골철근콘크리트조 13.12㎡]"
658cfcb1c837ad5e9701f28f,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2021타경1593,"서울특별시 광진구 광나루로56길 85, 4층시016호 (구의동,테크노-마트21)\n[집합건물 철골철근콘크리트조 13.12㎡]"
658cfcb1c837ad5e9701f290,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2021타경2527\n2022타경1385\n(중복)\n2021타경51864\n2021타경53242\n(병합),"서울특별시 강동구 양재대로124길 49-5, 2층205호 (길동,길동애드하우징)\n[집합건물 철근콘크리트구조 28.37㎡]"
658cfcb1c837ad5e9701f291,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2021타경2527\n2022타경1385\n(중복)\n2021타경51864\n2021타경53242\n(병합),"서울특별시 강동구 양재대로124길 49-5, 6층602호 (길동,길동애드하우징)\n[집합건물 철근콘크리트구조 22.35㎡]"
658cfcb1c837ad5e9701f292,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2021타경55637,"서울특별시 광진구 용마산로3길 79, 2층201호 (중곡동,아성뜨란채)\n[집합건물 철근콘크리트구조 31.03㎡]"
658cfcb1c837ad5e9701f293,| 매각기일 : 2023.12.28 ~ 2024.01.11,서울동부지방법원\n2021타경56159,"서울특별시 송파구 가락로36길 13, 2층204호\n[집합건물 철근콘크리트구조 33.355㎡]"
